Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;
Lat;-9.1131;Lat;-8.2708;Lat;-7.5667;Lat;-7.3808;Lat;-7.3908;Lat;-7.5344;Lat;-7.0819;Lat;-9.58;Lat;-8.7925;Lat;-7.2475;Lat;-6.7614;Lat;-7.4681;Lat;-7.5464;Lat;-7.1894;Lat;-6.9731;Lat;-7.2342;Lat;-6.6222;Lat;-5.5719;Lat;-5.135;Lat;-4.4156;Lat;-5.2231;Lat;-5.7139;Lat;-5.6664;Lat;-5.2025;Lat;-3.4539;Lat;-4.4097;Lat;-3.9028;Lat;-3.7239;
Lon;-45.9261;Lon;-45.6683;Lon;-45.2544;Lon;-44.8267;Lon;-44.6142;Lon;-46.0358;Lon;-44.8139;Lon;-45.0292;Lon;-44.2058;Lon;-43.6433;Lon;-43.0278;Lon;-41.8653;Lon;-41.295;Lon;-41.7703;Lon;-42.1061;Lon;-42.5439;Lon;-42.6969;Lon;-43.0242;Lon;-42.8111;Lon;-40.9108;Lon;-41.7375;Lon;-42.1;Lon;-42.2136;Lon;-42.6967;Lon;-42.37;Lon;-42.1814;Lon;-42.2297;Lon;-41.9742;
Alt;266.0;Alt;-99999.0;Alt;197.0;Alt;210.0;Alt;160.0;Alt;263.0;Alt;177.0;Alt;341.0;Alt;220.0;Alt;150.0;Alt;134.0;Alt;188.0;Alt;215.0;Alt;166.0;Alt;160.0;Alt;138.0;Alt;95.0;Alt;104.0;Alt;49.0;Alt;580.0;Alt;180.0;Alt;-99999.0;Alt;80.0;Alt;60.0;Alt;22.0;Alt;53.0;Alt;56.0;Alt;48.0;
Basin area;12900.0;Basin area;25500.0;Basin area;31300.0;Basin area;35300.0;Basin area;15600.0;Basin area;9040.0;Basin area;24700.0;Basin area;750.0;Basin area;31000.0;Basin area;47000.0;Basin area;140000.0;Basin area;8810.0;Basin area;7180.0;Basin area;17700.0;Basin area;29100.0;Basin area;34400.0;Basin area;73700.0;Basin area;235000.0;Basin area;237000.0;Basin area;1030.0;Basin area;19200.0;Basin area;16300.0;Basin area;43400.0;Basin area;51400.0;Basin area;298000.0;Basin area;4910.0;Basin area;11200.0;Basin area;21800.0;
River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO URUÇUÍ PRETO;River;RIO DAS BALSAS;River;RIO DAS BALSAS;River;RIO CONTRATO;River;RIO GURGUÉIA;River;RIO GURGUÉIA;River;RIO PARANAÍBA;River;RIO CANINDÉ;River;RIO ITAIM;River;RIO ITAIM;River;RIO CANINDÉ;River;RIO PIAUÍ;River;RIO CANINDÉ;River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO MACAMBIRA;River;RIO POTI;River;RIO SAMBITO;River;RIO POTI;River;RIO POTI;River;RIO PARANAÍBA;River;RIO LONGÁ;River;RIO LONGÁ;River;RIO LONGÁ;
Municipality;ALTO PARNAÍBA;Municipality;TASSO FRAGOSO;Municipality;RIBEIRO GONÇALVES;Municipality;URUÇUÍ;Municipality;URUÇUÍ;Municipality;BALSAS;Municipality;SÃO FÉLIX DE BALSAS;Municipality;MONTE ALEGRE DO PIAUÍ;Municipality;CRISTINO CASTRO;Municipality;JERUMENHA;Municipality;BARÃO DE GRAJAÚ;Municipality;SANTO INÁCIO DO PIAUÍ;Municipality;JAICÓS;Municipality;SANTA CRUZ DO PIAUÍ;Municipality;OEIRAS;Municipality;SÃO FRANCISCO DO PIAUÍ;Municipality;FRANCISCO AYRES;Municipality;PALMEIRAIS;Municipality;TERESINA;Municipality;CROATÁ;Municipality;CASTELO DO PIAUÍ;Municipality;SÃO MIGUEL DO TAPUIO;Municipality;PRATA DO PIAUÍ;Municipality;TERESINA;Municipality;LUZILÂNDIA;Municipality;BARRAS;Municipality;ESPERANTINA;Municipality;SÃO JOSÉ DO DIVINO;





Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;
1966;71.91009999999999;1996;142.25518571428572;1966;164.57410000000002;1968;163.0643714285714;1973;31.90114285714286;1973;100.86578571428569;1973;161.79578571428573;1975;0.45541428571428577;1975;5.612914285714285;1973;15.88792857142857;1983;353.0685571428571;2000;0.0;1967;0.0;1997;0.40800000000000003;1973;4.630971428571428;1981;0.010257142857142857;1983;1.2198571428571428;1973;581.9107;1981;384.8905857142858;1962;0.5513;1965;2.2154142857142856;1999;1.9329714285714286;1973;4.232442857142857;1988;20.02865714285714;1982;350.45734285714286;1965;0.0;1973;13.871828571428571;1973;44.83788571428572;
1967;84.92617142857144;1997;142.78371428571427;1967;167.07018571428574;1969;167.28615714285712;1974;31.302757142857143;1974;98.14347142857143;1974;157.5965857142857;1976;0.9162714285714285;1976;7.424542857142856;1974;16.14597142857143;1984;408.51307142857144;2001;0.0;1970;0.0;1998;0.14894285714285713;1974;0.4428571428571429;1982;0.0;1984;12.950642857142856;1974;386.10358571428566;1982;306.3978142857142;1963;0.6748714285714286;1966;1.4654;2000;0.9922285714285713;1974;15.044342857142857;1989;13.231257142857144;1983;531.7469142857143;1967;0.0;1974;1.6537428571428572;1974;15.136985714285714;
1968;77.86777142857143;1998;154.01864285714282;1968;173.73238571428573;1970;153.8876;1975;27.4787;1975;96.64991428571429;1975;140.49822857142857;1977;0.5710142857142857;1977;7.61762857142857;1975;11.584599999999998;1985;446.06918571428565;2002;0.0494;1972;0.0;1999;0.25602857142857144;1975;0.7289142857142857;1983;0.004642857142857143;1985;30.75268571428571;1975;309.0397857142857;1983;431.7362857142857;1965;1.4837714285714283;1967;1.2856285714285713;2001;1.0561;1975;8.978228571428572;1990;19.015985714285712;1984;439.4978142857143;1968;0.0;1975;3.1676285714285717;1975;11.913785714285712;
1969;89.51995714285714;1999;161.92638571428571;1969;166.5388714285714;1971;156.48688571428573;1976;27.369714285714284;1976;92.8001;1976;135.37047142857142;1978;0.38287142857142864;1978;19.455857142857138;1976;14.816442857142858;1986;448.5888571428572;2003;0.0;1973;0.0;2000;0.3885285714285714;1976;0.5098285714285713;1984;0.0;1986;9.376328571428571;1976;547.4134428571429;1984;409.65819999999997;1966;0.6282428571428572;1968;1.9437285714285715;2002;0.7045857142857143;1976;6.614028571428571;1991;2.7091999999999996;1985;835.1276285714287;1969;0.0;1976;3.8573999999999997;1976;11.515157142857143;
1970;86.22332857142858;2000;151.97254285714286;1970;154.93267142857144;1984;188.60991428571427;1977;33.50121428571429;1977;98.7056857142857;1977;127.81879999999998;1979;0.7761714285714285;1980;16.471814285714284;1977;10.789385714285714;1987;328.73207142857143;2004;0.0;1974;0.2065714285714286;2001;0.024614285714285717;1977;0.9940857142857142;1985;0.0504;1988;5.380871428571429;1977;374.50390000000004;1985;572.1520857142857;1967;3.3462714285714283;1969;3.234785714285714;2003;0.8524142857142857;1977;6.209071428571428;1992;2.168057142857143;1986;361.23804285714283;1971;0.0;1977;0.0;1977;0.17250000000000001;
1971;69.94162857142857;2001;158.08291428571425;1971;161.1983285714286;1985;217.15997142857142;1978;34.42655714285714;1978;99.30174285714284;1978;177.02028571428568;1980;0.42451428571428573;1982;2.6561142857142856;1978;21.602857142857143;1988;443.4723142857143;2005;0.0;1975;0.0;2002;0.0042;1978;1.407042857142857;1986;0.0;1989;13.730914285714286;1978;352.7098571428572;1986;459.53020000000004;1968;2.1066285714285713;1970;0.04458571428571428;2004;0.2586;1978;5.324585714285713;1993;2.5949714285714287;1987;478.6959857142857;1985;0.5429142857142858;1978;0.0;1978;5.033114285714286;
1972;82.23002857142858;2002;132.9065285714286;1972;153.61824285714286;1986;193.04954285714285;1979;30.475871428571427;1979;85.88355714285714;1979;135.09258571428572;1981;0.4394857142857143;1983;8.105728571428573;1980;23.957199999999997;1989;346.90514285714283;2006;0.0;1976;0.0;2003;0.051871428571428575;1979;1.4648;1987;0.0;1990;0.0;1979;172.81712857142855;1987;476.0665571428572;1969;1.5256714285714286;1971;0.010242857142857142;2005;1.7836714285714286;1979;2.6372714285714287;1994;2.4220571428571427;1988;549.3567571428572;1986;0.0;1979;2.3342428571428573;1979;3.808114285714286;
