Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;
Lat;-9.1131;Lat;-8.2708;Lat;-7.5667;Lat;-7.3808;Lat;-7.3908;Lat;-7.5344;Lat;-7.0819;Lat;-9.58;Lat;-8.7925;Lat;-7.2475;Lat;-6.7614;Lat;-6.9731;Lat;-7.2342;Lat;-6.6222;Lat;-5.5719;Lat;-5.135;Lat;-5.2231;Lat;-5.6664;Lat;-5.2025;Lat;-3.4539;Lat;-4.4097;Lat;-3.9028;Lat;-3.7239;
Lon;-45.9261;Lon;-45.6683;Lon;-45.2544;Lon;-44.8267;Lon;-44.6142;Lon;-46.0358;Lon;-44.8139;Lon;-45.0292;Lon;-44.2058;Lon;-43.6433;Lon;-43.0278;Lon;-42.1061;Lon;-42.5439;Lon;-42.6969;Lon;-43.0242;Lon;-42.8111;Lon;-41.7375;Lon;-42.2136;Lon;-42.6967;Lon;-42.37;Lon;-42.1814;Lon;-42.2297;Lon;-41.9742;
Alt;266.0;Alt;-99999.0;Alt;197.0;Alt;210.0;Alt;160.0;Alt;263.0;Alt;177.0;Alt;341.0;Alt;220.0;Alt;150.0;Alt;134.0;Alt;160.0;Alt;138.0;Alt;95.0;Alt;104.0;Alt;49.0;Alt;180.0;Alt;80.0;Alt;60.0;Alt;22.0;Alt;53.0;Alt;56.0;Alt;48.0;
Basin area;12900.0;Basin area;25500.0;Basin area;31300.0;Basin area;35300.0;Basin area;15600.0;Basin area;9040.0;Basin area;24700.0;Basin area;750.0;Basin area;31000.0;Basin area;47000.0;Basin area;140000.0;Basin area;29100.0;Basin area;34400.0;Basin area;73700.0;Basin area;235000.0;Basin area;237000.0;Basin area;19200.0;Basin area;43400.0;Basin area;51400.0;Basin area;298000.0;Basin area;4910.0;Basin area;11200.0;Basin area;21800.0;
River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO URUÇUÍ PRETO;River;RIO DAS BALSAS;River;RIO DAS BALSAS;River;RIO CONTRATO;River;RIO GURGUÉIA;River;RIO GURGUÉIA;River;RIO PARANAÍBA;River;RIO CANINDÉ;River;RIO PIAUÍ;River;RIO CANINDÉ;River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO POTI;River;RIO POTI;River;RIO POTI;River;RIO PARANAÍBA;River;RIO LONGÁ;River;RIO LONGÁ;River;RIO LONGÁ;
Municipality;ALTO PARNAÍBA;Municipality;TASSO FRAGOSO;Municipality;RIBEIRO GONÇALVES;Municipality;URUÇUÍ;Municipality;URUÇUÍ;Municipality;BALSAS;Municipality;SÃO FÉLIX DE BALSAS;Municipality;MONTE ALEGRE DO PIAUÍ;Municipality;CRISTINO CASTRO;Municipality;JERUMENHA;Municipality;BARÃO DE GRAJAÚ;Municipality;OEIRAS;Municipality;SÃO FRANCISCO DO PIAUÍ;Municipality;FRANCISCO AYRES;Municipality;PALMEIRAIS;Municipality;TERESINA;Municipality;CASTELO DO PIAUÍ;Municipality;PRATA DO PIAUÍ;Municipality;TERESINA;Municipality;LUZILÂNDIA;Municipality;BARRAS;Municipality;ESPERANTINA;Municipality;SÃO JOSÉ DO DIVINO;





Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;
1968;268.8720233333333;1997;231.21922333333333;1968;366.9970966666667;1968;350.08361333333335;1973;59.250640000000004;1973;210.37438666666668;1973;641.7183833333332;1975;5.024043333333334;1975;40.800053333333345;1973;276.55341000000004;1983;952.0085533333335;1973;378.97400666666664;1982;13.926760000000003;1983;248.07933333333327;1973;2347.2122666666664;1981;1026.9067833333334;1964;569.6984133333333;1973;1782.3744533333331;1989;436.4170699999999;1982;1101.3783533333335;1984;510.40105;1973;1212.5237499999998;1973;2266.0987266666666;
1969;239.47963000000001;1998;286.16662333333335;1969;421.1625733333333;1969;401.40618000000006;1974;51.57304333333333;1974;164.40385333333336;1974;396.7689833333334;1976;5.542376666666667;1976;87.97003666666666;1974;56.223466666666674;1984;1726.947543333333;1974;80.33838666666666;1983;40.216249999999995;1984;613.8387466666666;1974;990.4636100000002;1982;1278.872456666667;1967;255.38460666666668;1974;564.7445733333334;1990;677.7507666666666;1983;2648.374103333333;1985;444.58052000000004;1974;664.8510299999999;1974;1050.6073533333333;
1970;166.542;1999;387.42169666666655;1970;299.9777233333334;1970;300.6035733333334;1975;41.911190000000005;1975;162.07554666666664;1975;324.9718966666667;1977;10.675376666666669;1977;123.39961666666667;1975;46.325289999999995;1985;1444.8344133333335;1975;69.05192333333333;1984;111.37840333333335;1985;325.8156866666667;1975;984.8604633333335;1983;1468.511273333333;1968;254.78928000000005;1975;305.5903133333333;1991;328.7661466666666;1984;4881.521963333332;1992;26.96422666666667;1975;412.3036466666668;1975;620.1976933333334;
1971;141.87803333333332;2000;306.70201;1971;273.2939733333333;1971;282.71296;1976;47.75707333333333;1976;180.82330000000005;1976;373.64491666666675;1978;9.811143333333337;1978;166.10025666666664;1976;135.19374666666667;1986;903.7936533333335;1976;35.554759999999995;1985;41.200019999999995;1988;156.77302000000006;1976;1005.1960999999998;1984;3780.830520000001;1969;36.68917999999999;1976;475.73555333333326;1992;54.12379333333333;1985;2925.716023333334;1993;136.25123333333332;1976;648.5756766666667;1976;934.0674866666666;
1972;145.9998933333333;2001;504.07438333333334;1972;288.94848999999994;1984;457.6970133333333;1977;65.28807666666665;1977;226.99655666666666;1977;420.09458666666666;1979;20.00847;1980;114.71775;1977;229.08978666666664;1987;1116.6320233333333;1977;28.60665;1986;35.770836666666675;1989;240.9726533333333;1977;1474.6298466666663;1985;2091.82233;1970;146.79282333333333;1977;292.7223366666666;1993;292.9310100000001;1986;1876.1242166666666;1994;422.61773999999997;1977;435.0807766666666;1977;589.7164999999999;
1973;234.16656333333327;2002;247.3856833333334;1973;466.5281800000001;1985;595.9941666666668;1978;72.56712;1978;321.9545133333333;1978;630.2707566666667;1980;8.264209999999999;1982;88.65171;1978;347.65878333333336;1988;1042.7641266666667;1978;25.253383333333336;1987;49.38282666666668;1991;211.13587666666666;1978;1525.7101333333333;1986;1443.4550066666668;1971;65.07148666666669;1978;291.2000766666667;1994;974.1941033333334;1987;1966.99011;1995;355.4995733333334;1978;115.2616566666667;1978;142.95555333333337;
1974;164.8599566666667;2003;424.7140466666667;1974;322.70787333333334;1986;416.93314;1979;91.05863333333332;1979;328.2637766666666;1979;851.1056966666666;1981;7.066696666666668;1983;40.24447333333334;1980;130.26117000000002;1989;1529.1233633333336;1979;189.1091166666667;1988;22.31199333333333;1992;51.07520666666666;1979;2646.9128000000005;1987;1580.563536666667;1972;146.40929333333332;1979;764.8637999999999;1995;881.9010000000002;1988;2718.54959;1996;189.71576666666664;1979;538.6729433333334;1979;855.6775600000001;
