Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;
Lat;-3.1217;Lat;-4.1442;Lat;-4.195;Lat;-4.0969;Lat;-3.9092;Lat;-3.6883;Lat;-3.4075;Lat;-3.6706;Lat;-4.1933;Lat;-4.6578;Lat;-4.5006;Lat;-6.3244;Lat;-6.6461;Lat;-6.5578;Lat;-6.5344;Lat;-6.3744;Lat;-7.2222;Lat;-7.3;Lat;-7.0142;Lat;-6.75;Lat;-6.4067;Lat;-5.8997;Lat;-5.2275;Lat;-5.5958;Lat;-5.2014;Lat;-5.1219;Lat;-5.5933;Lat;-5.45;Lat;-5.8672;Lat;-5.6436;Lat;-5.2886;Lat;-6.9192;Lat;-7.2044;Lat;-6.9658;Lat;-6.7258;Lat;-6.3781;Lat;-6.5936;Lat;-6.3703;Lat;-5.6164;Lat;-5.6319;Lat;-5.63;Lat;-6.0631;Lat;-6.6053;Lat;-6.445;Lat;-7.0297;Lat;-6.8519;Lat;-7.7211;Lat;-7.3981;Lat;-7.5283;Lat;-7.3344;Lat;-7.13;Lat;-7.5578;Lat;-7.7542;Lat;-7.6131;Lat;-7.9619;Lat;-8.0128;Lat;-7.9428;Lat;-7.8789;Lat;-7.8942;Lat;-8.1136;Lat;-7.9986;Lat;-8.2792;Lat;-8.3656;Lat;-8.3028;Lat;-8.2819;Lat;-8.4972;Lat;-8.6375;Lat;-8.4975;Lat;-8.6794;Lat;-8.8411;Lat;-9.1678;Lat;-9.0042;Lat;-9.1544;Lat;-9.3136;Lat;-9.4672;Lat;-9.5067;Lat;-10.0311;
Lon;-40.8217;Lon;-40.43;Lon;-40.3178;Lon;-40.1264;Lon;-40.3797;Lon;-40.3389;Lon;-39.0847;Lon;-38.9825;Lon;-38.7797;Lon;-38.9433;Lon;-38.3608;Lon;-40.1617;Lon;-39.9617;Lon;-39.5086;Lon;-39.4997;Lon;-39.2933;Lon;-39.1439;Lon;-38.9847;Lon;-38.9581;Lon;-38.9667;Lon;-38.8672;Lon;-38.6331;Lon;-38.1978;Lon;-39.3811;Lon;-39.2922;Lon;-38.4464;Lon;-37.6842;Lon;-37.515;Lon;-37.3147;Lon;-37.2553;Lon;-37.2889;Lon;-38.3808;Lon;-37.9281;Lon;-37.9242;Lon;-37.7975;Lon;-37.3525;Lon;-36.785;Lon;-37.1803;Lon;-36.8911;Lon;-36.9161;Lon;-35.4214;Lon;-35.3119;Lon;-35.5289;Lon;-35.2206;Lon;-35.4681;Lon;-35.1631;Lon;-36.5053;Lon;-36.4336;Lon;-35.9997;Lon;-35.3728;Lon;-35.0475;Lon;-35.1175;Lon;-35.2331;Lon;-35.0647;Lon;-36.2022;Lon;-36.0578;Lon;-35.6342;Lon;-35.4519;Lon;-35.1733;Lon;-35.2839;Lon;-35.0392;Lon;-35.0628;Lon;-36.5603;Lon;-36.0108;Lon;-35.3647;Lon;-35.4978;Lon;-35.3056;Lon;-35.9153;Lon;-35.5769;Lon;-35.4469;Lon;-36.2175;Lon;-36.0511;Lon;-36.0358;Lon;-35.9497;Lon;-35.8597;Lon;-36.0228;Lon;-36.3036;
Alt;9.0;Alt;180.0;Alt;90.0;Alt;170.0;Alt;80.0;Alt;75.0;Alt;35.0;Alt;80.0;Alt;326.0;Alt;111.0;Alt;50.0;Alt;325.0;Alt;320.0;Alt;230.0;Alt;230.0;Alt;213.0;Alt;350.0;Alt;370.0;Alt;-99999.0;Alt;247.0;Alt;160.0;Alt;125.0;Alt;50.0;Alt;173.0;Alt;187.0;Alt;50.0;Alt;70.0;Alt;6.4;Alt;0.0;Alt;45.0;Alt;0.0;Alt;265.0;Alt;249.0;Alt;170.0;Alt;175.0;Alt;115.0;Alt;220.0;Alt;135.0;Alt;65.0;Alt;-99999.0;Alt;13.0;Alt;35.0;Alt;0.0;Alt;30.0;Alt;100.0;Alt;60.0;Alt;493.0;Alt;430.0;Alt;350.0;Alt;50.0;Alt;18.0;Alt;22.0;Alt;75.0;Alt;21.0;Alt;0.0;Alt;376.0;Alt;245.0;Alt;134.0;Alt;63.54;Alt;141.0;Alt;32.31;Alt;-99999.0;Alt;653.0;Alt;545.0;Alt;265.0;Alt;0.0;Alt;100.0;Alt;390.0;Alt;112.0;Alt;61.2;Alt;-99999.0;Alt;256.0;Alt;-99999.0;Alt;82.0;Alt;42.0;Alt;54.14;Alt;50.0;
Basin area;3960.0;Basin area;3640.0;Basin area;1530.0;Basin area;2370.0;Basin area;2800.0;Basin area;11300.0;Basin area;7330.0;Basin area;504.0;Basin area;223.0;Basin area;1610.0;Basin area;2040.0;Basin area;5870.0;Basin area;3460.0;Basin area;3530.0;Basin area;6000.0;Basin area;20700.0;Basin area;1260.0;Basin area;4230.0;Basin area;6940.0;Basin area;8840.0;Basin area;12400.0;Basin area;39600.0;Basin area;47800.0;Basin area;4530.0;Basin area;7050.0;Basin area;17300.0;Basin area;5930.0;Basin area;7690.0;Basin area;1140.0;Basin area;1590.0;Basin area;3050.0;Basin area;1110.0;Basin area;4560.0;Basin area;8580.0;Basin area;15200.0;Basin area;21600.0;Basin area;1860.0;Basin area;9710.0;Basin area;38100.0;Basin area;969.0;Basin area;2400.0;Basin area;2560.0;Basin area;2170.0;Basin area;3450.0;Basin area;875.0;Basin area;2950.0;Basin area;5030.0;Basin area;3180.0;Basin area;13700.0;Basin area;17400.0;Basin area;19000.0;Basin area;472.0;Basin area;692.0;Basin area;1230.0;Basin area;1560.0;Basin area;2450.0;Basin area;4910.0;Basin area;5580.0;Basin area;6190.0;Basin area;264.0;Basin area;7290.0;Basin area;372.0;Basin area;672.0;Basin area;2000.0;Basin area;2960.0;Basin area;537.0;Basin area;1310.0;Basin area;2610.0;Basin area;4910.0;Basin area;756.0;Basin area;767.0;Basin area;1170.0;Basin area;2900.0;Basin area;3290.0;Basin area;3560.0;Basin area;2600.0;Basin area;1440.0;
River;RIO COREAU;River;RIO ACARAÚ;River;RIACHO DOS MACACOS;River;RIO GROAIRAS;River;RIO GROAIRAS;River;RIO ACARAÚ;River;RIO CURU;River;RIO SÃO GONÇALO;River;RIO PACOTI;River;RIO CHORO;River;RIO PIRANGI;River;RIO JAGUARIBE;River;RIACHO CONCEIÇÃO;River;RIO DOS BASTIÕES;River;RIO CARIUS;River;RIO JAGUARIBE;River;RIO SALGADO;River;RIACHO DOS PORCOS;River;RIO SALGADO;River;RIO SALGADO;River;RIO SALGADO;River;RIO JAGUARIBE;River;RIO JAGUARIBE;River;RIO BANABUIU;River;RIO QUIXERAMOBIM;River;RIO BANABUIU;River;RIO APODÍ-MOSSORÓ;River;RIO APODÍ-MOSSORÓ;River;RIO DO CARMO;River;RIO DO CARMO;River;RIO DO CARMO;River;RIO PIRANHAS-AÇÚ;River;RIO PIANCÓ;River;RIO PIANCÓ;River;RIO PIRANHAS-AÇÚ;River;RIO PIRANHAS-AÇÚ;River;RIO SERIDÓ;River;RIO SERIDÓ;River;RIO PIRANHAS-AÇÚ;River;RIO PARAÚ;River;RIO CEARÁ-MIRIM;River;RIO TRAIRÍ;River;RIO CURIMATAÚ;River;RIO CURIMATAÚ;River;RIO MAMANGUAPE;River;RIO MAMANGUAPE;River;RIO PARAÍBA;River;RIO TAPEROÁ;River;RIO PARAÍBA;River;RIO PARAÍBA;River;RIO PARAÍBA;River;RIO SIRIJI;River;RIO TRACUNHAÉM;River;RIO TRACUNHAÉM;River;RIO CAPIBARIBE;River;RIO CAPIBARIBE;River;RIO CAPIBARIBE;River;RIO CAPIBARIBE;River;RIO CAPIBARIBE;River;RIO TAPACURÁ;River;RIO CAPIBARIBE;River;RIO PIRAPAMA;River;RIO IPOJUCA;River;RIO IPOJUCA;River;RIO IPOJUCA;River;RIO SIRINHAEM;River;RIO SIRINHAEM;River;RIO UNA;River;RIO UNA;River;RIO JACUÍPE;River;RIO MUNDAÚ;River;RIO CARURU;River;RIO MUNDAÚ;River;RIO MUNDAÚ;River;RIO MUNDAÚ;River;RIO PARAÍBA;River;RIO CORURIPE;
Municipality;GRANJA;Municipality;SANTA QUITÉRIA;Municipality;SANTA QUITÉRIA;Municipality;SANTA QUITÉRIA;Municipality;GROAIRAS;Municipality;SOBRAL;Municipality;SÃO LUÍS DO CURU;Municipality;SÃO GONÇALO DO AMARANTE;Municipality;REDENÇÃO;Municipality;ITAPIUNA;Municipality;CASCAVEL;Municipality;ARNEIROZ;Municipality;SABOEIRO;Municipality;CARIÚS;Municipality;CARIÚS;Municipality;IGUATU;Municipality;MISSÃO VELHA;Municipality;MILAGRES;Municipality;AURORA;Municipality;LAVRAS DA MANGABEIRA;Municipality;ICÓ;Municipality;JAGUARIBE;Municipality;TABULEIRO DO NORTE;Municipality;SENADOR POMPEU;Municipality;QUIXERAMOBIM;Municipality;MORADA NOVA;Municipality;FELIPE GUERRA;Municipality;GOVERNADOR DIX-SEPT ROSADO;Municipality;AUGUSTO SEVERO;Municipality;UPANEMA;Municipality;MOSSORÓ;Municipality;SÃO JOÃO DO RIO DO PEIXE;Municipality;PIANCÓ;Municipality;POMBAL;Municipality;POMBAL;Municipality;JARDIM DE PIRANHAS;Municipality;JARDIM DO SERIDÓ;Municipality;SÃO FERNANDO;Municipality;AÇÚ;Municipality;AÇÚ;Municipality;CEARÁ-MIRIM;Municipality;MONTE ALEGRE;Municipality;BANANEIRAS;Municipality;PEDRO VELHO;Municipality;MULUNGU;Municipality;MAMANGUAPE;Municipality;CARAÚBAS;Municipality;SÃO JOÃO DO CARIRI;Municipality;BOQUEIRÃO;Municipality;ITABAIANA;Municipality;SANTA TERESINHA;Municipality;CONDADO;Municipality;NAZARÉ DA MATA;Municipality;GOIANA;Municipality;SANTA CRUZ DO CAPIBARIBE;Municipality;TORITAMA;Municipality;SALGADINHO;Municipality;LIMOEIRO;Municipality;PAUDALHO;Municipality;VITÓRIA DE SANTO ANTÃO;Municipality;SÃO LOURENÇO DA MATA;Municipality;CABO DE SANTO AGOSTINHO;Municipality;SANHARÓ;Municipality;CARUARU;Municipality;POMBOS;Municipality;JOAQUIM NABUCO;Municipality;RIO FORMOSO;Municipality;AGRESTINA;Municipality;PALMARES;Municipality;JACUÍPE;Municipality;SANTANA DO MUNDAÚ;Municipality;SÃO JOSÉ DA LAJE;Municipality;UNIÃO DOS PALMARES;Municipality;MURICI;Municipality;RIO LARGO;Municipality;ATALAIA;Municipality;CORURIPE;





Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;
1975;37.63281092896176;1973;28.00934821917805;1976;1.07613506849315;1990;0.28356684931506865;1980;2.1003936986301373;1973;88.92518219178072;1973;48.57641041095893;1984;6.468173972602741;1984;1.947768219178078;1985;18.75709095890415;1971;3.7312204918032807;1976;1.1205010958904116;1979;3.466236612021859;1974;16.63937369863015;1984;20.710386575342458;1973;77.41125561643831;1966;2.3148599999999964;1973;11.464498082191787;2000;4.8485980821917805;1973;43.77906657534249;1973;65.24748054794517;1978;33.14166630136984;1973;275.7407679452055;1978;3.1738638356164364;1973;65.77481534246576;1975;41.29486612021864;1973;35.15103698630134;1987;4.371540437158472;1993;0.39746657534246577;1975;6.571853551912576;1987;0.6047191256830601;1963;1.279171038251368;1970;8.482141095890412;1970;8.83735369863014;1973;111.53832438356167;1973;134.2166147945206;1979;2.0866114754098355;1973;39.19119726027402;1986;84.4531487671232;1987;0.43272213114754077;1970;0.05394410958904106;1978;2.4201578082191775;1981;2.1727950684931505;1976;2.1692849315068496;1973;5.5429;1970;16.332594794520563;1979;1.6051306010928965;1978;2.0928271232876696;1970;2.008599999999996;1970;5.174219178082191;1970;16.834914246575355;1978;6.307977260273977;1973;5.267082191780829;1967;9.777048087431691;1987;0.4959639344262293;1976;0.4361646575342458;1969;6.064498630136986;1973;3.738587123287677;1967;4.419509016393445;1967;1.4908311475409834;1990;22.25236219178084;1986;20.044635068493164;1985;2.956253972602741;1973;0.7201879452054797;1967;5.026220491803276;2000;12.757821917808231;1989;35.2822271232877;1978;3.084609041095886;1968;37.974326849315126;1989;20.663082465753416;1993;5.546812054794529;1993;2.7256180821917795;1991;36.68642185792352;1974;30.681690136986326;1974;30.421320273972587;1978;27.89430904109589;1978;9.053823561643823;
1976;20.54668301369865;1974;59.45330273972619;1977;5.0973679452054785;1991;0.2054707650273227;1981;1.8789082191780833;1974;210.46563095890414;1974;110.47426;1985;8.808343013698623;1985;5.984399452054789;1987;1.0990808743169396;1972;1.1996824657534237;1977;3.1928947945205426;1980;1.5681567123287663;1976;4.4580457534246625;1987;7.222998633879784;1974;124.68925643835617;1967;3.658353278688518;1974;10.852456438356166;2001;8.153966849315067;1974;37.97155643835614;1974;75.50438328767123;1979;67.27769453551912;1974;419.89202931506827;1991;6.067431420765032;1974;93.57423287671226;1976;12.860549315068491;1974;56.102776164383585;1988;7.136670136986321;1994;1.251061643835617;1976;3.2522005479452094;1988;4.31924712328767;1966;2.1671706849315084;1973;37.218403561643825;1973;52.1018635616439;1974;129.5996079452056;1974;230.4216178082192;1980;3.0001808219178048;1974;80.62934520547937;1987;38.14356666666665;1988;4.323302191780823;1971;0.34757540983606633;1979;0.44911994535519145;1982;0.11795534246575343;1977;3.4072876712328752;1974;5.675441095890416;1971;9.732670218579221;1982;1.4366134246575342;1979;0.37412295081967223;1971;12.185614480874282;1971;16.046447814207653;1971;19.465859836065555;1979;3.8899863387978146;1974;3.267187123287675;1973;12.301423013698638;1988;0.5896547945205479;1977;11.082216712328771;1984;11.032690136986306;1974;14.468472876712333;1968;9.5879591780822;1968;2.5763706849315064;1991;15.548639890710383;1987;11.289397267759567;1986;0.40053534246575334;1974;6.991474246575338;1968;6.191680547945198;2001;8.845611232876719;1990;30.141180273972594;1979;1.211681420765026;1971;18.544010382513676;1990;13.665810410958935;1994;4.915881095890417;1994;3.807764657534246;1992;15.354342739726038;1975;33.418374590163936;1975;35.787527868852465;1979;19.67371420765028;1979;7.471474316939894;
1979;13.78567459016395;1975;13.290468306010943;1978;1.5849126027397251;1994;1.5349268493150687;1982;0.3036690410958903;1975;55.7430054644808;1975;14.374845355191267;1988;3.5597038356164394;1986;5.836133698630138;1988;13.23309534246577;1973;26.46294356164384;1978;0.36634575342465747;1981;1.6520912328767117;1977;6.848562739726029;1988;8.679970136986297;1975;26.089247814207653;1968;3.059637808219176;1975;3.420771311475416;2002;4.574536164383566;1975;22.580053825136616;1975;31.554409016393425;1980;34.21168849315071;1975;123.78677076502727;1995;7.2108521857923575;1977;15.158524383561648;1977;31.73134684931515;1975;23.298263114754118;1989;35.88079589041092;1995;3.600298360655738;1977;9.835357260273975;1989;16.380103835616417;1967;4.331783879781418;1974;25.58088164383562;1974;51.79569205479451;1975;42.834704918032756;1975;67.22707540983622;1981;1.0425619178082195;1975;23.5154644808743;1988;106.75689616438339;1989;0.9438821917808237;1972;0.34668547945205624;1980;8.799485205479463;1983;0.1521655737704918;1978;4.092089863013703;1975;3.5760745901639326;1972;17.323725205479434;1984;30.28808684931508;1981;3.6274775342465757;1972;1.761275616438355;1972;4.360416164383561;1972;11.546331232876701;1980;1.7560843835616426;1978;4.436639452054796;1974;8.728093972602746;1990;0.2066175342465754;1978;1.7182161643835612;1985;13.636169315068488;1975;9.748449180327858;1970;10.259214246575347;1969;2.895462739726033;1992;6.230281643835623;1988;17.714288767123325;1987;0.12770109289617484;1975;4.508524863387979;1969;10.720496438356157;2002;6.713466849315076;1991;34.37937486338799;1980;4.103037534246574;1972;17.69207205479452;1991;14.209108469945365;1995;4.282899453551912;1996;5.887628493150682;1993;15.172546301369874;1976;38.729288219178144;1976;35.65810109589041;1980;17.18001753424657;1981;7.494008767123294;
1985;90.56653479452055;1976;6.976404931506852;1979;6.899225409836063;1995;3.502005737704919;1983;1.7412349726775957;1976;23.853367123287658;1976;3.3251528767123264;1989;3.9912054794520557;1987;2.0823286885245906;1989;15.689722739726058;1974;24.89052054794521;1979;6.270161748633878;1982;0.2495394520547947;1978;1.2584939726027393;1989;28.305598904109576;1976;14.719398356164383;1969;2.7172093150684926;1976;0.9953068493150653;2003;18.088865846994533;1976;13.312415068493154;1976;18.549879178082175;1981;63.990546301369925;1976;33.83316958904109;1997;6.257368493150689;1978;3.678979452054795;1979;25.218671311475486;1976;21.95609260273972;1990;1.8415978082191766;1996;5.6099049315068505;1978;2.7526342465753433;1990;0.06722383561643837;1968;1.441380821917808;1975;9.072527868852461;1975;20.638837431693947;1976;18.717351780821907;1976;29.038703561643825;1982;0.7778728767123293;1976;5.662204383561638;1989;120.13819616438333;1992;0.7301556164383511;1973;2.388600273972605;1981;0.9100852054794516;1987;0.9103868852459013;1979;0.5306472677595624;1976;3.29091506849315;1973;30.652377260273994;1985;25.64519835616438;1982;2.1596687671232875;1973;19.100592328767178;1973;30.19970246575341;1973;36.863388767123254;1981;1.9342578082191777;1979;3.5100131147540967;1975;11.776132786885247;1991;1.0310898907103823;1979;0.0540571038251366;1987;1.9939688524590164;1976;1.6545199999999984;1971;4.307823497267758;1970;3.4765328767123322;1993;2.7759791780821925;1989;15.877835342465758;1988;0.046795342465753426;1977;10.422589315068494;1970;7.917499726027401;2003;10.713602185792366;1992;27.445564657534263;1981;1.663316986301369;1973;20.33234465753426;1992;13.37645205479453;1996;8.09585178082191;1997;2.2032046575342434;1994;17.58619150684933;1984;42.87799013698632;1977;52.035955068493095;1981;22.907690684931488;1982;3.6352139726027373;
1986;62.00416465753428;1977;4.726960547945207;1984;28.750101643835595;1996;2.1120093150684895;1990;1.3154331506849344;1977;31.19460191780823;1977;12.418034794520542;1991;0.612491256830601;1988;2.235591232876722;1990;2.0743238356164437;1975;5.350528142076499;1980;16.090598082191782;1983;0.859177595628415;1979;1.2959959016393434;1992;2.3290898630136994;1977;22.23058356164383;1970;2.543483835616438;1977;2.2966942465753415;2004;7.174573698630135;1977;25.135021643835607;1977;43.932480821917764;1982;15.947192602739705;1977;138.53296520547946;1998;0.9721063013698616;1979;16.137075409836072;1980;13.968933972602747;1977;30.68231013698634;1991;3.7628418032786874;1997;0.006974246575342465;1979;2.5665524590163935;1991;1.391756830601093;1969;1.100424657534247;1976;5.34197424657534;1976;10.36935315068496;1977;84.74898958904097;1977;124.11570438356166;1983;0.25877868852459013;1977;34.032900273972686;1990;15.442426301369897;1993;0.29359205479452066;1974;11.068158356164368;1982;0.27094958904109584;1988;0.4806210958904109;1981;1.1331210958904112;1977;4.663863287671238;1974;19.93881589041094;1987;0.7566005464480885;1983;0.6959456284153007;1974;38.34980273972599;1974;64.75257972602734;1974;77.3016383561644;1982;2.490626575342465;1980;2.1919041095890424;1976;8.53271315068494;1992;1.2558893150684936;1980;6.549747123287671;1988;3.0873838356164365;1977;22.66238630136987;1972;5.072995616438357;1972;1.4307591780821896;1994;17.47618438356165;1991;14.937349453551906;1991;0.09163551912568303;1978;2.4814939726027423;1971;4.732785792349727;2004;15.335078356164377;1994;29.037637534246553;1982;0.8105260273972605;1974;25.147062465753454;1993;8.238340000000003;1997;4.087499178082183;1998;1.002144931506854;1995;13.76483661202187;1985;45.41983178082194;1978;41.118769589041015;1982;16.952413972602724;1983;3.110649726775957;
1988;41.94239041095892;1978;6.0710597260273955;1987;4.222205737704916;1997;0.8585167123287687;1991;1.2314939890710395;1978;22.043566849315077;1978;10.442085205479467;1994;1.7445136986301384;1989;6.558494794520546;1991;1.510786612021858;1976;0.45096356164383583;1981;13.631703287671241;1984;9.07377616438356;1980;1.9512060273972602;1993;1.128018904109589;1978;5.455787397260273;1971;3.6753702185792356;1978;5.995644931506851;2005;3.995258904109595;1979;29.439593442622936;1978;21.155275068493136;1983;8.546488524590169;1978;57.73879506849315;1999;3.031252459016391;1980;12.662313698630143;1982;7.883918630136985;1978;5.488306027397257;1992;3.4029435616438337;1998;0.033657808219178076;1980;0.9913068493150685;1992;0.37996410958904103;1972;0.9837827397260255;1977;16.023480821917808;1977;22.932236712328745;1978;19.211970410958905;1978;24.84060767123287;1984;6.2372158904109565;1978;6.556763013698633;1991;26.491801092896157;1994;2.815012054794518;1975;1.981130601092901;1983;1.8081202185792358;1990;0.6653610958904106;1982;0.8298761643835614;1978;4.265826849315069;1975;14.994118032786895;1988;0.28417452054794523;1985;12.384022465753409;1975;10.61680191256832;1975;20.87597459016395;1975;31.921373224043723;1983;3.0932546448087463;1981;1.948872328767125;1977;15.052419452054792;1994;0.2974695890410959;1981;1.8161301369863014;1989;5.086413150684931;1978;8.477650410958905;1973;16.01101917808219;1973;2.3890336986301346;1995;8.803515300546438;1993;11.70284191780822;1992;0.09474438356164384;1980;2.7045000000000012;1972;3.768412602739725;2005;10.948087671232889;1996;35.486945479452075;1983;3.931053825136612;1977;55.52492958904105;1994;14.218206849315072;1998;2.3004375342465764;1999;1.8751062841530037;1996;26.79152136986303;1986;39.511058082191774;1979;27.196546994535506;1983;11.93530491803278;1984;7.797264931506842;
1989;46.09553369863013;1979;4.39317540983606;1988;7.984929863013699;1998;1.088752602739726;1992;0.6470131506849317;1979;26.940559016393458;1979;6.457165846994537;1995;3.2192516393442636;1990;1.2763923287671195;1992;0.971884109589041;1977;3.487842465753424;1982;0.6476419178082191;1985;9.872058082191788;1981;2.259839999999999;1994;6.615361643835618;1979;14.786596721311478;1972;0.794132876712328;1979;11.278082240437154;2006;12.028113424657537;1980;11.441863287671223;1979;41.32639617486331;1984;117.43480849315068;1979;107.74571994535515;2000;2.207066027397261;1981;4.21156383561644;1983;8.331305191256817;1979;16.131061748633876;1993;0.0639342465753425;1999;0.022878688524590164;1981;1.5815210958904113;1993;0.7656046575342467;1985;8.834784657534225;1978;7.458697260273974;1978;8.737794794520559;1979;46.48538633879784;1979;49.93650628415297;1985;27.02755397260274;1985;80.63174849315071;1992;11.796203287671245;1995;6.298906557377042;1976;0.8336605479452068;1986;3.999548493150683;1991;0.14324153005464482;1983;0.1387636612021858;1979;1.6895857923497253;1976;11.287789315068505;1989;2.711463013698635;1986;3.13297506849315;1976;5.59072712328767;1976;5.999318630136981;1976;10.485176438356172;1984;5.877139726027397;1982;1.7297720547945215;1978;13.14729534246576;1995;0.2886822404371586;1982;0.14117397260273976;1990;1.2305526027397258;1979;0.31022103825136615;1974;5.085234520547951;1984;4.814952602739723;1996;11.277726575342452;1994;14.176186027397256;1993;0.11323342465753422;1981;1.9364468493150684;1973;10.870409863013693;2006;7.413940000000002;1997;23.009301917808223;1984;12.664612328767118;1978;40.061030136986254;1995;9.444661475409834;1999;2.936628688524588;2000;5.291901643835608;1997;14.416622191780846;1987;22.310645901639322;1980;16.047729041095902;1984;15.011945479452033;1985;7.982049315068494;
