Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;Gauge code;7;
Lat;-28.3694;Lat;-28.4394;Lat;-28.09;Lat;-28.1614;Lat;-27.8028;Lat;-27.8297;Lat;-27.7022;Lat;-27.5078;Lat;-27.4858;Lat;-27.3339;Lat;-27.5381;Lat;-27.8786;Lat;-27.7067;Lat;-27.5619;Lat;-26.8958;Lat;-27.0881;Lat;-27.1594;Lat;-27.3156;Lat;-27.2764;Lat;-26.9486;Lat;-26.9694;Lat;-27.1656;Lat;-27.5539;Lat;-27.1711;Lat;-26.5606;Lat;-26.7733;Lat;-26.76;Lat;-26.8175;Lat;-26.7369;Lat;-26.8594;Lat;-26.9244;Lat;-27.0419;Lat;-27.1756;Lat;-27.8131;Lat;-27.2786;Lat;-26.6822;Lat;-27.3328;Lat;-27.8247;Lat;-27.3922;Lat;-27.6728;Lat;-27.845;Lat;-27.8525;Lat;-28.0631;Lat;-27.9308;Lat;-28.2869;Lat;-28.4544;Lat;-28.3847;Lat;-28.3553;Lat;-28.3897;Lat;-28.6569;Lat;-28.5783;Lat;-28.2119;Lat;-28.1822;Lat;-28.8372;Lat;-28.6828;Lat;-29.4289;Lat;-29.5561;Lat;-30.2808;Lat;-30.2428;Lat;-29.4989;Lat;-29.3625;Lat;-29.6869;Lat;-29.5958;Lat;-29.3086;Lat;-29.9511;Lat;-29.7683;Lat;-29.3092;Lat;-29.7486;Lat;-30.3844;
Lon;-49.8025;Lon;-50.3019;Lon;-50.0611;Lon;-50.4428;Lon;-49.7786;Lon;-49.6269;Lon;-49.84;Lon;-50.1128;Lon;-50.3917;Lon;-50.7539;Lon;-50.86;Lon;-51.7547;Lon;-51.8853;Lon;-51.8578;Lon;-51.0756;Lon;-51.2581;Lon;-51.4811;Lon;-51.5267;Lon;-52.3772;Lon;-52.1825;Lon;-52.3669;Lon;-52.5228;Lon;-52.7425;Lon;-52.8675;Lon;-52.3258;Lon;-52.0253;Lon;-52.7503;Lon;-52.7344;Lon;-52.9017;Lon;-52.9047;Lon;-53.0089;Lon;-52.9544;Lon;-53.2297;Lon;-53.0294;Lon;-53.3203;Lon;-53.2861;Lon;-53.6444;Lon;-53.7303;Lon;-53.8808;Lon;-54.4644;Lon;-54.5561;Lon;-55.0256;Lon;-54.7558;Lon;-54.9392;Lon;-53.7808;Lon;-53.9731;Lon;-54.0314;Lon;-54.2675;Lon;-54.3308;Lon;-54.4589;Lon;-54.9144;Lon;-55.3197;Lon;-55.6433;Lon;-54.855;Lon;-55.5794;Lon;-54.0542;Lon;-54.3422;Lon;-54.9031;Lon;-54.9169;Lon;-54.6892;Lon;-54.7353;Lon;-55.1961;Lon;-55.4814;Lon;-55.7069;Lon;-55.6003;Lon;-55.7875;Lon;-56.0553;Lon;-57.0886;Lon;-56.4656;
Alt;1080.0;Alt;763.92;Alt;1000.0;Alt;930.0;Alt;837.46;Alt;900.0;Alt;839.56;Alt;824.31;Alt;814.66;Alt;829.0;Alt;720.0;Alt;600.0;Alt;400.0;Alt;400.0;Alt;773.71;Alt;627.4;Alt;505.6;Alt;560.0;Alt;370.0;Alt;600.0;Alt;480.0;Alt;280.0;Alt;600.0;Alt;230.4;Alt;733.97;Alt;793.0;Alt;400.0;Alt;360.0;Alt;360.0;Alt;207.07;Alt;263.36;Alt;232.3;Alt;200.88;Alt;350.0;Alt;240.0;Alt;317.18;Alt;240.0;Alt;400.0;Alt;240.0;Alt;120.0;Alt;200.0;Alt;83.43;Alt;700.0;Alt;125.0;Alt;200.0;Alt;160.0;Alt;160.0;Alt;189.0;Alt;200.0;Alt;200.0;Alt;120.0;Alt;80.0;Alt;54.01;Alt;200.0;Alt;50.0;Alt;160.0;Alt;80.0;Alt;80.0;Alt;82.58;Alt;100.0;Alt;300.0;Alt;67.04;Alt;61.71;Alt;60.0;Alt;100.0;Alt;66.25;Alt;50.82;Alt;38.63;Alt;86.25;
Basin area;533.0;Basin area;2820.0;Basin area;1170.0;Basin area;550.0;Basin area;1010.0;Basin area;489.0;Basin area;2000.0;Basin area;3230.0;Basin area;4610.0;Basin area;3680.0;Basin area;10000.0;Basin area;1620.0;Basin area;2800.0;Basin area;3660.0;Basin area;801.0;Basin area;2010.0;Basin area;3710.0;Basin area;420.0;Basin area;44100.0;Basin area;654.0;Basin area;933.0;Basin area;1500.0;Basin area;1940.0;Basin area;52400.0;Basin area;1840.0;Basin area;740.0;Basin area;266.0;Basin area;5550.0;Basin area;642.0;Basin area;1010.0;Basin area;418.0;Basin area;8240.0;Basin area;61900.0;Basin area;437.0;Basin area;5340.0;Basin area;609.0;Basin area;2020.0;Basin area;502.0;Basin area;1540.0;Basin area;1140.0;Basin area;329.0;Basin area;95200.0;Basin area;817.0;Basin area;1260.0;Basin area;1940.0;Basin area;811.0;Basin area;970.0;Basin area;5440.0;Basin area;2160.0;Basin area;932.0;Basin area;3240.0;Basin area;5230.0;Basin area;116000.0;Basin area;378.0;Basin area;3710.0;Basin area;1540.0;Basin area;2790.0;Basin area;6010.0;Basin area;12100.0;Basin area;2320.0;Basin area;926.0;Basin area;27800.0;Basin area;29400.0;Basin area;2560.0;Basin area;1160.0;Basin area;5867.84;Basin area;42500.0;Basin area;190000.0;Basin area;4570.0;
River;RIO PELOTAS;River;RIO PELOTAS;River;RIO LAVA TUDO;River;RIO PELOTINHAS;River;RIO CANOAS;River;RIO JOÃO PAULO;River;RIO CANOAS;River;RIO CANOAS;River;RIO CANOAS;River;RIO DAS MAROMBAS;River;RIO CANOAS;River;RIO FORQUILHA OU INHANDUVA;River;RIO APUE OU LIGEIRO;River;RIO APUE OU LIGEIRO;River;RIO DO PEIXE;River;RIO DO PEIXE;River;RIO DO PEIXE;River;RIO LEÃO;River;RIO URUGUAI;River;RIO IRANI;River;RIO IRANI;River;RIO IRANI;River;RIO PASSO FUNDO;River;RIO URUGUAI;River;RIO CHAPECÓ;River;RIO CHAPECOZINHO;River;RIO DO OURO;River;RIO CHAPECÓ;River;RIO TRÊS VOLTAS;River;RIO BURRO BRANCO;River;RIO SAUDADES;River;RIO CHAPECÓ;River;RIO URUGUAI;River;ARROIO CATURETE;River;RIO DA VÁRZEA;River;RIO SARGENTO;River;RIO GUARITA;River;RIO TURVO;River;RIO TURVO;River;RIO SANTA ROSA;River;RIO SANTO CRISTO;River;RIO URUGUAI;River;RIO COMANDAÍ;River;RIO COMANDAÍ;River;RIO IJUÍ;River;RIO CONCEIÇÃO;River;RIO CONCEIÇÃO;River;RIO IJUÍ;River;RIO IJUIZINHO;River;RIO PIRATINI;River;RIO PIRATINI;River;RIO PIRATINI;River;RIO URUGUAI;River;RIO ICAMAQUÃ;River;RIO ICAMAQUÃ;River;RIO TOROPI;River;RIO TOROPI;River;RIO IBICUÍ DA ARMADA;River;RIO SANTA MARIA;River;RIO JAGUARI;River;RIO JAQUARIZINHO;River;RIO IBICUÍ;River;RIO IBICUÍ;River;RIO ITU;River;ARROIO CAVERÁ;River;RIO IBIRAPUITÃ;River;RIO IBICUÍ;River;RIO URUGUAI;River;RIO QUARAÍ;
Municipality;BOM JARDIM DA SERRA;Municipality;BOM JESUS;Municipality;SÃO JOAQUIM;Municipality;LAGES;Municipality;BOCAINA DO SUL;Municipality;BOM RETIRO;Municipality;BOCAINA DO SUL;Municipality;OTACÍLIO COSTA;Municipality;PONTE ALTA;Municipality;CURITIBANOS;Municipality;SÃO JOSÉ DO CERRITO;Municipality;SANANDUVA;Municipality;PAIM FILHO;Municipality;MARCELINO RAMOS;Municipality;RIO DAS ANTAS;Municipality;TANGARÁ;Municipality;JOAÇABA;Municipality;CAMPOS NOVOS;Municipality;ITÁ;Municipality;IPUMIRIM;Municipality;XAVANTINA;Municipality;CHAPECÓ;Municipality;ENTRE RIOS DO SUL;Municipality;CAXAMBU DO SUL;Municipality;ABELARDO LUZ;Municipality;PASSOS MAIA;Municipality;QUILOMBO;Municipality;CORONEL FREITAS;Municipality;SUL BRASIL;Municipality;PINHALZINHO;Municipality;SAUDADES;Municipality;SÃO CARLOS;Municipality;IRAÍ;Municipality;SARANDI;Municipality;FREDERICO WESTPHALEN;Municipality;ROMELÂNDIA;Municipality;TENENTE PORTELA;Municipality;SANTO AUGUSTO;Municipality;TRÊS PASSOS;Municipality;TUCUNDUVA;Municipality;SANTA ROSA;Municipality;PORTO LUCENA;Municipality;CERRO LARGO;Municipality;SÃO PAULO DAS MISSÕES;Municipality;AJURICABA;Municipality;IJUÍ;Municipality;CORONEL BARROS;Municipality;ENTRE-IJUIS;Municipality;ENTRE-IJUIS;Municipality;SÃO MIGUEL DAS MISSÕES;Municipality;BOSSOROCA;Municipality;SANTO ANTÔNIO DAS MISSÕES;Municipality;GARRUCHOS;Municipality;SANTIAGO;Municipality;SÃO BORJA;Municipality;QUEVEDOS;Municipality;SÃO PEDRO DO SUL;Municipality;ROSÁRIO DO SUL;Municipality;ROSÁRIO DO SUL;Municipality;JAGUARI;Municipality;SANTIAGO;Municipality;ALEGRETE;Municipality;MANOEL VIANA;Municipality;MANOEL VIANA;Municipality;ALEGRETE;Municipality;ALEGRETE;Municipality;ITAQUI;Municipality;URUGUAIANA;Municipality;QUARAÍ;





Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;
1976;19.89099479452055;1968;63.039629315068474;1942;9.786042191780815;1945;13.690028493150693;1957;35.37877726027394;1959;12.890561475409832;1942;38.224058630136945;1984;68.57931315068495;1957;108.51966767123298;1940;78.60901780821924;1951;159.61941584699443;1957;30.191926301369854;1958;90.76339698630133;1940;129.0260857534247;1976;15.18619479452052;1976;36.70393205479453;1986;96.50755945205492;1976;9.194256712328771;1995;174.6445081967212;1951;13.039138251366138;1958;22.230884383561616;1969;34.76779178082189;1973;53.087671232876716;1948;680.2214013698627;1953;83.65764794520544;1976;16.14420383561643;1976;4.505972876712332;1979;180.9136199453552;1976;9.782255616438341;1960;27.32734383561643;1953;20.192154794520548;1972;327.34297013698625;1948;946.3805331506852;1959;7.072054918032797;1940;216.86461068493134;1965;22.89576301369863;1964;44.22399095890407;1976;13.661906027397253;1964;31.759623013698626;1942;14.82103890410959;1963;11.569799453551909;1931;4891.47517513661;1942;9.459080821917818;1970;35.563896986301415;1942;35.345793150684955;1942;14.376875616438365;1975;20.463034699453537;1942;96.92763589041085;1975;50.97152240437159;1942;15.629154520547951;1957;50.948179452054795;1942;71.55140904109595;1983;4300.0069956284115;1942;3.892129589041091;1942;60.92326986301363;1977;7.865533698630137;1942;33.958838630137;1967;97.40416284153008;1967;207.47316284153013;1943;18.95402267759562;1958;40.47342219178082;1964;217.44364082191765;1967;238.49157021857903;1948;37.5469824657534;1977;23.854943013698637;1941;162.84349945205477;1964;513.1383021917808;1983;5741.165369945358;1993;68.25216109589041;
1977;10.69745068493149;1969;55.30886657534252;1943;13.867627595628415;1946;4.569093424657532;1958;29.71502794520543;1960;10.708859999999994;1943;20.230109289617484;1985;38.575734520548;1958;102.71823863013698;1941;67.04304602739731;1952;138.6120709589041;1958;49.57993315068493;1959;53.35919207650271;1941;91.86871342465756;1977;12.07700657534246;1977;27.253081095890423;1987;79.06631284153013;1978;6.960785753424654;1996;206.9293424657534;1952;17.095061643835656;1959;10.520700000000016;1970;66.7437150684932;1974;32.55068493150685;1967;567.8454043715848;1957;29.878020821917794;1977;11.490847397260287;1977;3.3504191780821926;1980;108.37815287671233;1977;8.002947945205468;1961;21.452334794520546;1954;13.954835616438352;1973;164.2164734246575;1949;983.9658304109582;1960;8.275918630137005;1945;101.42712575342453;1966;13.348501643835625;1966;57.53524383561652;1977;7.105464931506855;1965;51.76220876712327;1943;10.635191256830607;1964;8.272550410958903;1932;2031.170464109588;1943;7.428120218579236;1971;44.060780054644844;1943;19.62931885245901;1943;7.356258196721312;1976;24.238189315068496;1943;52.62674562841531;1976;52.256082191780855;1943;7.481391256830603;1958;123.02239890410945;1943;52.69487704918027;1984;3634.7516835616416;1943;1.838816120218583;1943;35.61087349726777;1978;30.028589041095888;1943;17.992481420765046;1968;59.027380821917795;1968;116.16476383561643;1944;26.538440547945186;1959;20.541727049180317;1965;802.6554424657531;1968;452.92459041095884;1953;73.21401835616436;1978;33.83616904109589;1942;40.79920958904109;1965;1346.4851838356171;1984;5730.120218630138;1994;61.71005890410965;
1978;9.140096164383554;1970;91.24487150684939;1944;4.0905783561643885;1947;11.679363387978144;1959;26.319761475409827;1961;16.51884082191782;1944;15.007109589041098;1986;115.90499041095885;1959;70.15518169398908;1942;64.4962495890411;1953;330.22586410958905;1959;22.57996830601095;1960;76.76462904109576;1942;64.55217835616435;1978;12.084051232876698;1978;29.852334520547945;1988;83.53851452054806;1979;9.740856557377048;1997;210.86567123287662;1953;31.02334383561645;1960;28.14343972602737;1971;50.95569398907099;1975;49.19945355191257;1968;1199.9474978082194;1958;39.91204739726027;1978;15.897917534246577;1978;6.677724383561647;1981;152.87890301369873;1978;14.35501315068493;1962;15.110432054794531;1955;9.289347814207657;1974;175.9011367123287;1950;1045.8462331506842;1961;5.610513424657531;1946;70.79086328767134;1967;5.425780601092892;1967;23.053886612021866;1978;9.847748767123292;1966;43.08164986301368;1944;8.07543369863015;1965;10.306969863013675;1933;3183.6800435616437;1944;6.059634794520551;1972;61.5435109589042;1944;13.785544109589035;1944;6.520029315068496;1977;13.083971506849291;1944;39.55565424657535;1977;23.40802767123288;1944;7.4105583561643735;1959;43.58723114754095;1944;35.28151972602738;1985;2460.433330136986;1944;2.9537739726027437;1945;73.68050657534245;1979;30.317463387978126;1944;33.80818684931511;1969;55.22668575342463;1969;124.11032794520551;1945;30.516169315068506;1960;35.23914931506854;1966;841.6633690410955;1969;415.9185758904109;1954;62.81930164383561;1979;27.164117486338824;1943;44.60497759562841;1966;1005.4546164383563;1985;4604.316232054794;1996;56.462014246575386;
